id,name,code,area,lat,lng
241,三股127-1,M7611DA9748,七股區,23.0972392,120.0435919
242,,M7611EA92,七股區,23.0967212,120.0445327
243,三股127,M7611EB0250,七股區,23.0976191,120.0436966
244,三股126,M7611EB1650,七股區,23.0979809,120.0437917
245,三股125,M7611EB19,七股區,23.0982514,120.0437409
246,三股124,M7611EC23,七股區,23.0986132,120.043836
247,,M7611EC25,七股區,23.0987938,120.0438347
248,三股124右1,M7611EC32,七股區,23.0985235,120.0439342
249,三股123-1,M7611EC35,七股區,23.0987944,120.0439323
250,三股123,M7611EC47,七股區,23.0989756,120.0440287
251,三股124右2,M7611EC71,七股區,23.0984356,120.0443253
252,三股122,M7611ED41,七股區,23.0993367,120.0440261
253,,M7611ED55,七股區,23.0996985,120.0441211
254,三股121-2,M7611ED65,七股區,23.0996991,120.0442188
255,三股121-1,M7611ED67,七股區,23.0998797,120.0442175
256,三股122右1,M7611ED7085,七股區,23.0992938,120.0443973
257,三股121,M7611EE7168,七股區,23.100314,120.0443706
258,三股120,M7611EE73,七股區,23.100422,120.0443112
259,三股119,M7611EE88,七股區,23.1008741,120.0444057
260,三股119 B1,M7611EE89,七股區,23.1009644,120.044405
261,三股119 A1,M7611EE99,七股區,23.100965,120.0445026
262,三股124右4,M7611FB49,七股區,23.0982591,120.0450098
263,,M7611FB77,七股區,23.0980803,120.0453039
264,三股124右5,M7611FB78,七股區,23.0981706,120.0453033
265,三股124右3,M7611FC00,七股區,23.0983471,120.0446188
266,三股122右2,M7611FC1926,七股區,23.0992146,120.0447298
267,三股122右3,M7611FC4877,七股區,23.0991354,120.045072
268,三股122右4,M7611FC8727,七股區,23.0990472,120.0454142
269,三股117,M7611FE79,七股區,23.1009697,120.0452835
270,三股124右13,M7611GA61,七股區,23.0966409,120.0461926
271,三股124右12,M7611GA64,七股區,23.0969118,120.0461907
272,三股124右11,M7611GA77,七股區,23.0971833,120.0462864
273,三股124右6,M7611GB17,七股區,23.0980827,120.0456943
274,三股124右7,M7611GB46,七股區,23.0979941,120.0459878
275,三股124右10,M7611GB81,七股區,23.097545,120.0463814
276,三股124右9,M7611GB84,七股區,23.0978159,120.0463795
277,三股124右8,M7611GB86,七股區,23.0979965,120.0463782
278,三股122右5,M7611GC1657,七股區,23.0989588,120.045737
279,三股122右6,M7611GC5508,七股區,23.0988796,120.0460792
280,三股122右7,M7611GC8439,七股區,23.0988003,120.0464018
281,三股116-1,M7611GE18,七股區,23.1008818,120.0456746
282,三股116,M7611GE5728,七股區,23.1008662,120.0460846
283,三股115,M7611GE96,七股區,23.1007059,120.0464567
284,三股122右8,M7611HC2339,七股區,23.0987124,120.0467929
285,三股114,M7611HE35,七股區,23.100618,120.0468478
286,三股113,M7611HE64,七股區,23.1005294,120.0471412
287,三股113 B1,M7611HE65,七股區,23.1006197,120.0471406
288,?,M7611HE83,七股區,23.1004403,120.0473371
289,三股112,M7611HE8445,七股區,23.100576,120.0473752
290,三股112左1,M7611HE8620,七股區,23.1007113,120.0473547
291,三股112左2,M7611HE9807,七股區,23.1009556,120.0474311
292,三股118左10,M7612AB42,七股區,23.1021121,120.0401019
293,三股118左9,M7612AB81,七股區,23.1020242,120.040493
294,三股118左8 A1,M7612BA29,七股區,23.101846,120.0408847
295,三股118左7,M7612BA69,七股區,23.1018484,120.0412752
296,三股118左8,M7612BB30,七股區,23.1019369,120.0409817
297,三股118左6 A1,M7612CA07,七股區,23.1016701,120.0416669
298,三股118左5 A2,M7612CA15,七股區,23.1014902,120.0417658
299,三股118左6,M7612CA18,七股區,23.101761,120.0417638
300,三股118左5 A1,M7612CA26,七股區,23.101581,120.0418627
301,三股118左5 B1,M7612CA37,七股區,23.1016719,120.0419597
302,三股118左5-1,M7612CA47,七股區,23.1016725,120.0420573
303,三股118左5,M7612CA86,七股區,23.1015846,120.0424484
304,?,M7612DA15,七股區,23.1014961,120.0427418
305,三股118左4,M7612DA16,七股區,23.1015864,120.0427412
306,三股118左3 A1,M7612DA34,七股區,23.101407,120.0429377
307,三股118左3,M7612DA45,七股區,23.1014979,120.0430347
308,三股118左2-1,M7612DA84,七股區,23.1014099,120.0434257
309,三股118左2,M7612EA13,七股區,23.1013214,120.0437192
310,三股118左1,M7612EA62,七股區,23.1012341,120.0442079
311,潟湖220,M7612EA81,七股區,23.101145,120.0444037
312,三股118,M7612EA9200,七股區,23.1012358,120.0445007
313,潟湖219,M7612FA05,七股區,23.1015073,120.0445964
314,潟湖218,M7612FA18,七股區,23.1017788,120.0446921
315,三股117-1,M7612FA20,七股區,23.101057,120.0447948
316,潟湖219右1,M7612FA2592,七股區,23.1015271,120.0448793
317,潟湖217,M7612FB11,七股區,23.1020497,120.0446902
318,潟湖216,M7612FB25,七股區,23.1024114,120.0447852
319,潟湖215,M7612FB38,七股區,23.1026829,120.0448809
320,,M7612FB4901,七股區,23.1027828,120.0449778
321,潟湖214,M7612FC41,七股區,23.1029544,120.0449766
322,潟湖213,M7612FC44,七股區,23.1032253,120.0449747
323,潟湖212,M7612FC57,七股區,23.1034967,120.0450704
